gamma_target,seed,n,R,gamma,bound,converged,sweeps,updates,within_bound,run_id,notebook,python,numpy,scipy,platform
0.1,18,60,1.6478025653675445,0.10407958507871104,250.6566579712363,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,19,60,1.6980713945590087,0.14763987057019703,132.2831659461548,True,4,8,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,0,60,1.7069508994268854,0.20029302255743323,72.62905889822872,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,1,60,1.4994590735378457,0.20074649287427496,55.79217595546508,True,4,8,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,2,60,1.615511112957353,0.2021948659844218,63.838055736933995,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,3,60,1.5834111191872526,0.20285475751227694,60.92800886485012,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,4,60,1.61735794099414,0.20973815781524935,59.46444804424835,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,5,60,1.53647654980213,0.20233419611019063,57.665132746022394,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,6,60,1.6188430737873685,0.20851879986388455,60.27248112359025,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,7,60,1.5656068632507303,0.20271888900568696,59.645405869877216,True,3,8,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,8,60,1.6195703142144307,0.21662448607737453,55.89648838271422,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
