gamma_target,seed,converged,got,best,ratio,run_id,notebook,python,numpy,scipy,platform
0.1,13,True,0.09331544878758391,0.13280146800490744,0.7026688047163425,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,14,True,0.06645964723718344,0.12077027037925714,0.5502980744224465,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,15,True,0.09463341679372142,0.11107351046842831,0.8519890691725293,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,16,True,0.1655897653100509,0.18013951298216513,0.9192306705439204,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,17,True,0.11150875334435902,0.1155055572085178,0.9653973024263802,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,18,True,0.045492484703803994,0.12913918668887425,0.352274827418619,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,19,True,0.0025440285465571748,0.16467442471875718,0.015448838220640818,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,0,True,0.13205400285309737,0.2255028303367837,0.5855979840957096,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,1,True,0.0021782704349516966,0.2543649765309958,0.008563562738309069,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,2,True,0.17141706697569944,0.21425644887331063,0.8000555776832555,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,3,True,0.03702268048674307,0.22515227954827105,0.16443395803508032,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,4,True,0.012623403134309439,0.22686278796684906,0.05564333951566384,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,5,True,0.20521429207652295,0.24463953530406451,0.8388435328797547,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,6,True,0.10204045866882365,0.2535031569857572,0.40252145133859885,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.2,7,True,0.12783191685617323,0.2754302449463937,0.46411721008000717,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
