seed,converged,sweeps,E,max_sweeps,hidden,eps,alpha,anti_h1,anti_h2,mirror,r1,r2,r3,w_h1,bias_h1,bias_out,w_out,run_id,notebook,python,numpy,platform
24,True,777,0.2812468729060327,20000,2,0.1,0.9,0.0004384401712741132,0.000427226292359533,0.0026116152389874412,1.0,1.991144253624279,3.947756537780688,-4.27;2.14;-8.46;8.46;-2.15;4.26,-1.78751648258431,4.394406680601328,-10.37;-10.38,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
25,True,3291,0.2869988522786386,20000,2,0.1,0.9,0.0003785805669764875,0.0003027624065987457,0.0019693713559696146,1.0,1.9813194231158775,3.9263804213398785,4.33;-2.19;-8.59;8.58;2.18;-4.33,-1.7983944426872949,4.2518199684921045,-10.04;-10.04,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
26,True,3089,0.2855637197851945,20000,2,0.1,0.9,0.0004673490956043637,0.00042239524130333354,0.010280658464228702,1.0,1.9913455868848347,3.947916512277556,2.12;-8.38;-4.23;4.22;8.38;-2.13,-1.774894890235095,4.388447022844737,-10.38;-10.35,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
27,True,6168,0.2489734201896858,20000,2,0.1,0.9,0.00020476121529103733,0.00027087112184058493,0.021422714321724472,1.0,1.553100663908969,2.0647213065103434,3.91;6.07;8.07;-8.08;-6.08;-3.91,-1.762458051203828,4.798554432874348,-11.03;-11.10,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
28,True,1068,0.2839055956637604,20000,2,0.1,0.9,0.0004497995681601282,0.00044966490336557447,0.0015647484761104602,1.0,1.9864130478674902,3.9405401351179568,4.26;8.46;-2.15;2.14;-8.46;-4.27,-1.7864361284119084,4.3769671407741475,-10.33;-10.33,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
29,True,8323,0.2818535646513699,20000,2,0.1,0.9,0.00016349861199573638,0.0006921819032069403,0.059757117277854724,1.0,1.984531562839226,3.935877007511443,-8.79;4.43;2.23;-2.23;-4.43;8.79,-1.8457524439728226,4.333285264122629,-10.15;-10.31,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
30,True,5307,0.24951706212776048,20000,2,0.1,0.9,0.0002758937910964263,0.00022275636305169388,0.026070050873089386,1.0,1.5539535857731703,2.0659187666169165,3.80;-5.91;-7.85;7.85;5.91;-3.80,-1.7241461596617251,4.824006933477427,-11.17;-11.09,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
31,True,1069,0.28247902266604236,20000,2,0.1,0.9,0.0005138035077185251,0.00048007360001091115,0.0006449689873614171,1.0,1.9808854152795234,3.9370481190603552,8.43;-2.14;4.24;-4.25;2.14;-8.44,-1.7817201019072664,4.405004885877612,-10.39;-10.39,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
32,True,2409,0.2868415651847145,20000,2,0.1,0.9,0.0004795479502765641,0.0005074846216220921,0.016051108773663364,1.0,1.984407883284063,3.9406483829717276,-2.15;-4.27;-8.48;8.48;4.27;2.15,-1.7927933863723993,4.393929879618513,-10.35;-10.39,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
33,True,9481,0.2856756245336337,20000,2,0.1,0.9,0.00037708092119535596,0.00042831336175641165,0.008407595983488881,1.0,1.9857943313812425,3.936669870459149,-4.27;8.47;-2.15;2.15;-8.47;4.27,-1.7933286195298288,4.372921425682325,-10.33;-10.35,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
34,False,20000,3.9999896463129314,20000,2,0.1,0.9,1.5138773520502438,1.9702830081004246,0.9334674981665038,1.0,1.8204094174421688,2.561941526664145,-0.49;-0.35;-0.19;0.04;-0.19;0.05,-0.19654544116059758,-7.61805493375474,-4.24;-5.68,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
35,True,744,0.28474507547844763,20000,2,0.1,0.9,0.0004523467958997359,0.00040540777150182173,0.013463422824885106,1.0,1.9889116681713988,3.9454609134491614,-8.41;2.13;4.24;-4.24;-2.13;8.41,-1.7764253556871654,4.362086515116454,-10.32;-10.28,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
36,True,1284,0.2479402186179947,20000,2,0.1,0.9,0.00021747696219509815,0.00027583301952247116,0.016673134425817804,1.0,1.5526679668516519,2.064013033168206,-3.87;7.98;6.01;-6.01;-7.99;3.87,-1.752965890231501,4.8652134653433965,-11.21;-11.26,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
37,True,735,0.286934875705844,20000,2,0.1,0.9,0.0004257055029340098,0.00042706438678649883,0.0017271682685221835,1.0,1.9864083229031801,3.938454511590781,-2.14;-4.25;-8.43;8.43;4.25;2.14,-1.7859299224721008,4.373965139316944,-10.33;-10.34,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
38,True,1943,0.28476130577661785,20000,2,0.1,0.9,0.0005250579228057736,0.0005273839411818189,0.004026961041366606,1.0,1.984756209394954,3.944153353555158,4.26;2.14;8.46;-8.46;-2.15;-4.26,-1.7853955791120144,4.3827467900775225,-10.33;-10.35,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
39,True,2833,0.2841521128274871,20000,2,0.1,0.9,0.0004432885081901686,0.00047623441342075945,0.01585414854985211,1.0,1.9864420457910799,3.9458464637049793,-4.31;-8.56;-2.17;2.17;8.56;4.31,-1.8020228525796076,4.345389121345583,-10.24;-10.28,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
40,True,784,0.28670687788971094,20000,2,0.1,0.9,0.0004556386575361009,0.00041783372398728787,0.006282285003578687,1.0,1.9901172110229086,3.9436177333475864,2.13;8.42;-4.25;4.25;-8.42;-2.14,-1.7813238988248072,4.361118491622993,-10.31;-10.30,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
41,False,20000,3.9999911142157143,20000,2,0.1,0.9,1.8836552381372784,1.8837975490725716,1.4552469485008266,1.0,1.7520875954957584,2.3011468086599063,0.37;-0.16;0.28;0.09;-0.04;0.24,0.16446947198097606,-7.698351813667512,-4.48;-5.16,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
42,True,3512,0.24804560657913433,20000,2,0.1,0.9,0.0002254794562467783,0.00026739191324986084,0.012223346692549663,1.0,1.5537958066834259,2.0648343966811273,7.91;3.83;-5.95;5.95;-3.83;-7.91,-1.7449344737013128,4.914281412612291,-11.33;-11.38,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
43,True,938,0.28110154618473837,20000,2,0.1,0.9,0.00045627142381174797,0.0004139116758328711,0.007968477671655486,1.0,1.9862760839392593,3.940627221378602,4.25;-8.43;-2.14;2.14;8.43;-4.25,-1.7804337295260748,4.385398958591826,-10.36;-10.34,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
44,True,7226,0.25019376234552526,20000,2,0.1,0.9,0.0002490434160449507,0.0002368494880538987,0.004567873091575287,1.0,1.5536757847055724,2.065301780653591,-3.80;-7.86;-5.91;5.91;7.86;3.80,-1.7336057012459536,4.886940381313248,-11.30;-11.28,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
45,True,17751,0.28378948490318934,20000,2,0.1,0.9,0.0004535454789192838,0.0004982703508904827,0.011678301031111697,1.0,1.9896605026622995,3.9488277225641224,4.20;2.11;-8.34;8.34;-2.12;-4.20,-1.7699157890409913,4.429388160955465,-10.47;-10.43,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
46,True,733,0.2847283360614825,20000,2,0.1,0.9,0.00044755046862752276,0.0004198987439957985,0.0032682098184505207,1.0,1.986807553844537,3.9397234555731337,4.24;-2.14;8.42;-8.42;2.13;-4.25,-1.781749570458243,4.385549941606093,-10.36;-10.35,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
47,True,1691,0.2826681097833026,20000,2,0.1,0.9,0.0003272392341866415,0.00034777779100586624,0.0056513695576756486,1.0,2.022630449971504,3.944241507974272,4.31;2.13;8.41;-8.41;-2.13;-4.31,-1.7780440104054844,4.447876365383425,-10.44;-10.45,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
48,True,4610,0.2865623453711834,20000,2,0.1,0.9,0.0005115220851422303,0.00045058203031584395,0.01666455245611712,1.0,1.9843693660785278,3.942194031528167,-2.12;-8.36;-4.21;4.20;8.35;2.12,-1.770386061698626,4.382240086733392,-10.38;-10.32,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
49,True,708,0.24882610527342863,20000,2,0.1,0.9,0.0002718942103287395,0.00023245096654655277,0.00966967706305541,1.0,1.554255387548206,2.065498197311753,-3.80;-5.90;7.84;-7.85;5.90;3.80,-1.7292092167609567,4.893014117025257,-11.31;-11.28,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
