eps_late,decay,margin,seed,sweeps,E,train_strict,train_top,train_n,test_strict,test_top,test_n,run_id,notebook,python,numpy,platform
0.02,0.002,끔,1,6000,51.27179882253422,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.002,끔,2,6000,51.212144939591624,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.002,끔,3,6000,50.787073074621745,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.002,끔,4,6000,51.271754048768685,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.002,끔,5,6000,50.76728771021656,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.002,끔,6,6000,51.222159101272084,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.002,끔,7,6000,51.23204382338534,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,0.0,켬,0,6000,3.991302286223315,96,99,100,1,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,0.0,켬,1,6000,4.151012243304784,100,100,100,0,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,0.0,켬,2,6000,9.710948550758346,76,94,100,0,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,0.0,켬,3,6000,15.550454861718343,34,93,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,0.0,켬,4,6000,3.994239396639851,100,100,100,0,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,0.0,켬,5,6000,4.921172817525999,99,99,100,1,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,0.0,켬,6,6000,8.270518430438914,36,97,100,0,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,0.0,켬,7,6000,21.54895903269226,39,78,100,1,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,0.0,끔,0,6000,2.7332336236295722,95,95,100,1,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,0.0,끔,1,6000,6.951169183214145,82,88,100,0,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,0.0,끔,2,6000,3.3705101337027203,94,94,100,1,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,0.0,끔,3,6000,12.85105744762846,74,75,100,1,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,0.0,끔,4,6000,1.8240911724503437,96,97,100,1,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,0.0,끔,5,6000,1.1597137311667585,98,98,100,2,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,0.0,끔,6,6000,3.498533177432594,87,95,100,1,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,0.0,끔,7,6000,4.950589007039351,82,92,100,0,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
