person,unit1,unit2,unit3,unit4,unit5,unit6,nationality,generation,run_id,notebook,python,numpy,platform
Roberto,2.374669146942137,-1.724605713853758,-1.1994950878371913,-1.3908127026750756,-1.688444965494619,1.6531758190688826,이탈리아,1,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Maria,2.5243870751923625,-1.4543386756367909,-1.2996612858035228,-1.8737096514720426,-1.4210819440302227,-0.8071970611614113,이탈리아,1,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Pierro,-2.2239706944294535,-1.224079066194774,-1.275525257395679,-2.1692931212319704,-2.1742353305115487,-0.5557577165465498,이탈리아,1,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Francesca,-2.0555805572555035,-1.7280467862309896,-1.0074769095247706,-2.237687923857723,-2.3410289729179192,-0.9012329940273643,이탈리아,1,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Gina,1.1910392795259719,-0.8305000487487576,-0.8481849615516363,2.4195320317103315,0.629522298587921,-0.5332568635129354,이탈리아,2,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Emilio,0.26167649684755306,-2.3734974971366154,-1.4479799370377886,-0.7272130329251666,1.5733051948239303,-0.7608382904573351,이탈리아,2,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Lucia,0.7443221078023804,-2.2588158094846036,-1.044327243850882,-0.00447502943812495,0.2932818097803396,-1.4734392689608045,이탈리아,2,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Marco,0.14499424101420835,-1.7894275120078802,-0.032321176511481434,2.325285509164373,-1.8969177724030293,1.4914352431160571,이탈리아,2,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Angela,-2.241305702446811,-2.04682681526816,-1.524767287554497,0.9948121694800662,-0.9223490660036616,1.695577897133439,이탈리아,2,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Tomaso,-1.7810145046247583,-1.6173114426051454,-1.014449422362692,1.9784819456685394,-2.0289447174466733,-0.7145319971405871,이탈리아,2,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Alfonso,-0.6603801218737977,-0.8253315981169377,-0.6314706433525805,2.6804544919483697,2.3694514480769797,-0.9038704746011027,이탈리아,3,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Sophia,-0.7171375315331611,-0.8940448980328508,-0.5805197970274194,2.668205885283197,2.4742844301808335,-0.7917040155019679,이탈리아,3,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
